Piece Mark,Pipe Length (Quantity),WLD % All (scaled),% Entry (computed),Shipped
LP1Y-ACNDMSO-110805-05-2,19.3,0.0,0.0,N
LP1Y-ACNDMSO-110805-05-3,4.31,0.0,0.0,N
LP1Y-ACNDMSO-110805-06-1,4.48,0.0,0.0,N
LP1Y-ACNDMSO-110805-07-1,0,0.0,0.0,N
LP1Y-ACNDMSO-110805-07-2,1.41,0.0,0.0,N
LP1Y-ACNDMSO-110805-07-3,4.08,0.0,0.0,N
LP1Y-ACNDMSO-110810-01-1,18.28,0.0,0.0,N
LP1Y-ACNDMSO-110810-03-1,1.88,0.0,0.0,N
LP1Y-ACNDMSO-110810-03-2,3.61,0.0,0.0,N
LP1Y-ACNDMSO-110810-03-3,8.78,0.0,0.0,N
LP1Y-ACNDMSO-110810-03-4,18.25,0.0,0.0,N
LP1Y-ACNDMSO-110810-04-1,0,0.0,0.0,N
LP1Y-ACNDMSO-110810-04-2,1.41,0.0,0.0,N
LP1Y-ACNDMSO-110810-04-3,2.28,0.0,0.0,N
LP1Y-ACNDMSO-110813-01-1,9.06,0.0,0.0,N
LP1Y-ACNDMSO-110813-01-2,26.66,0.0,0.0,N
LP1Y-ACNDMSO-110813-02-1,3.72,0.0,0.0,N
LP1Y-ACNDMSO-110813-02-2,13.79,0.0,0.0,N
LP1Y-AF-162003-02-1,6.64,50.0,40.0,N
LP1Y-AF-162003-02-2,8.08,0.0,0.0,N
LP1Y-AF-162003-02-3,2.97,0.0,0.0,N
LP1Y-AF-162003-02-4,11.78,100.0,80.0,N
LP1Y-AF-162003-03-1,0,0.0,0.0,N
LP1Y-AF-162003-03-2,6.36,0.0,0.0,N
LP1Y-AF-162003-04-1,1.96,100.0,80.0,N
LP1Y-AF-162003-04-2,13.93,0.0,0.0,N
LP1Y-AF-162003-04-3,14.49,100.0,100.0,Y
LP1Y-AF-162003-05-1,23.97,0.0,0.0,N
LP1Y-AF-162003-05-2,39.96,0.0,0.0,N
LP1Y-AF-162003-05-3,39.96,0.0,0.0,N
LP1Y-AF-162003-06-1,11.27,0.0,0.0,N
LP1Y-AF-162003-06-2,9.59,100.0,100.0,Y
LP1Y-AF-162003-06-3,21.27,100.0,100.0,Y
LP1Y-AF-162105-01-1,0,100.0,80.0,N
LP1Y-AF-162105-01-2,5.86,75.0,60.0,N
LP1Y-AF-162105-01-3,9.84,0.0,0.0,N
LP1Y-AF-162105-01-4,0,0.0,0.0,N
LP1Y-AI(100)-019015-03-1,0,0.0,0.0,N
LP1Y-AI(100)-019025-02-1,40.0,0.0,0.0,N
LP1Y-AI(100)-019025-02-2,31.79,33.0,26.4,N
LP1Y-AI(100)-019025-02-3,43.17,33.0,26.4,N
LP1Y-AI(100)-019034-02-1,22.56,0.0,0.0,N
LP1Y-AI(100)-019056-02-1,10.87,0.0,0.0,N
LP1Y-AI(100)-019062-02-1,7.49,0.0,0.0,N
LP1Y-AI(100)-019062-02-2,14.99,0.0,0.0,N
LP1Y-AI(100)-019064-02-1,12.49,0.0,0.0,N
LP1Y-AI(100)-034008-02-1,0,0.0,0.0,N
LP1Y-AI(100)-034008-02-2,0,0.0,0.0,N
LP1Y-AI(100)-034061-02-1,8.86,100.0,80.0,N
LP1Y-AI(100)-034061-02-2,4.48,0.0,0.0,N
LP1Y-AI(100)-034066-02-1,0,0.0,0.0,N
LP1Y-AI(100)-034066-02-2,0,0.0,0.0,N
LP1Y-AI(100)-034066-02-3,0,0.0,0.0,N
LP1Y-AI(100)-034066-02-4,0,0.0,0.0,N
LP1Y-AI(100)-190023-01-1,0,100.0,100.0,Y
LP1Y-AI(100)-190023-01-2,11.1,20.0,16.0,N
LP1Y-AI(100)-191008-01-1,8.72,100.0,80.0,N
LP1Y-AI(100)-191008-01-2,6.03,100.0,80.0,N
LP1Y-AI(100)-199005-01-1,0,0.0,0.0,N
LP1Y-AI(100)-199005-01-2,0,0.0,0.0,N
LP1Y-AI(100)-199005-02-1,0,0.0,0.0,N
LP1Y-AI(100)-199005-02-2,0,0.0,0.0,N
LP1Y-AI(100)-199005-02-3,0,0.0,0.0,N
LP1Y-AI(100)-199005-03-1,0,0.0,0.0,N
